AQW00061705         252C
USC00451939          16S
USC00451992         137R
USC00452007         154S
USC00452030         291R
USC00452157          98S
USC00452384          46Q
USC00452505         208S
USC00452531          75S
USC00452542         197R
USC00452548          18S
USC00452563         288R
USC00452675           6S
USC00452914          30S
USC00453177          59R
USC00453184         133S
USC00453222         228R
USC00453226         235R
USC00453284          19R
USC00453320           0S
USC00453333          62S
USC00453515         174S
USC00453529         325R
USC00453546         351S
USC00453730          50S
USC00453826          14R
USC00453883         338S
USC00454154         421S
USC00454169          32S
USC00454338         384S
USC00454486          38S
USC00454572         353S
USC00454679         338S
USC00454748           0S
USC00454764          53S
USC00454769          66S
USC00455133         166S
USC00455224          21S
USC00455231         307R
USC00455326         357R
USC00455525          25S
USC00455659         179R
USC00455678           1R
USC00455688         254R
USC00455704          28S
USC00455840          70S
USC00455844         151R
USC00455946         386S
USC00456011          60R
USC00456039         319S
USC00456096           1S
USC00456215         148R
USC00456262          99S
USC00456295          28S
USC00456534         121C
USC00456610         218S
USC00456624           1R
USC00456678           4S
USC00456747         436R
USC00456768         424R
USC00456789         164S
USC00456803          49R
USC00456846          56R
USC00456880         256S
USC00456898           1R
USC00456914          23C
USC00456974         131S
USC00457015         335S
USC00457059         276C
USC00457180         202S
USC00457185          83S
USC00457267         241S
USC00457319          23R
USC00457342         136R
USC00457507           3S
USC00457522         356R
USC00457544           1S
USC00457584          66R
USC00457657          35Q
USC00457696         128S
USC00457727         493R
USC00457773          28S
USC00457941         125R
USC00458034          38S
USC00458059         210S
USC00458207         442S
USC00458278          10R
USC00458520         277R
USC00458715          26S
USC00458773          77S
USC00458959         387S
USC00459012         147R
USC00459058         230R
USC00459074         323S
USC00459079         348R
USC00459200         400S
USC00459238         205S
USC00459376         254S
USC00459455         246Q
USC00459463         297R
USC00460102          95Q
USC00460202          78R
USC00460355          15R
USC00460509           2R
USC00460527           6S
USC00460580           4S
USC00460633          44R
USC00460925          19R
USC00460939          95R
USC00461215          23S
USC00461220          78S
USC00461290          52Q
USC00461324         131S
USC00461330         151R
USC00461393           5R
USC00461397           1R
USC00461579         155R
USC00461677         112S
USC00461723         190R
USC00461900           3Q
USC00462054         153R
USC00462211           0Q
USC00462462         107Q
USC00462522          50R
USC00462697         165Q
USC00462709          67R
USC00462920         111S
USC00463072           4R
USC00463215         107R
USC00463251           1Q
USC00463361         121S
USC00463464           2R
USC00463544         183S
USC00463648         165Q
USC00463798          18R
USC00463846         335S
USC00463940         127Q
USC00464200         185S
USC00464397         279R
USC00464763         190R
USC00464840         313R
USC00464956          28R
USC00464971           0Q
USC00465224          34S
USC00465353         352R
USC00465365         219S
USC00465453         127Q
USC00465563         249S
USC00465626          83S
USC00465672          55R
USC00465706         214Q
USC00465739         146R
USC00465875           1R
USC00465963          96S
USC00466163         223S
USC00466212          54S
USC00466248         162R
USC00466284          32Q
USC00466325         111R
USC00466442          73R
USC00466591          20S
USC00466600          48R
USC00466867          29S
USC00466912         233Q
USC00466952         282R
USC00466982          95Q
USC00466989           1R
USC00467018          67S
USC00467029          63S
USC00467372          51Q
USC00467513           6R
USC00467552         250S
USC00467649           9R
USC00467730         294S
USC00467785          44S
USC00467918         149R
USC00468051          19R
USC00468308           0S
USC00468351         101R
USC00468384         110S
USC00468522         119Q
USC00468589         129Q
USC00468614          16R
USC00468662         160R
USC00468777           5S
USC00468986          22R
USC00469011          62R
USC00469049         252Q
USC00469281         200S
USC00469333          28R
USC00469336          47R
USC00469436         124S
USC00469458         144R
USC00469482         147R
USC00469522          39S
USC00469610         363R
USC00469683         191S
USC00470045         104R
USC00470124          58S
USC00470175          51R
USC00470239          15R
USC00470265          59S
USC00470273          89S
USC00470287         107Q
USC00470308          61S
USC00470347          29Q
USC00470349          50R
USC00470382          40Q
USC00470516          76S
USC00470603          19R
USC00470645          49S
USC00470696          98S
USC00470742          54Q
USC00470773          40R
USC00470882          52S
USC00470904          73S
USC00470991          32R
USC00471044          54R
USC00471062          17Q
USC00471064          35R
USC00471078          93S
USC00471131          30R
USC00471205          74R
USC00471249          13R
USC00471280          45R
USC00471416          66S
USC00471568          58S
USC00471605           0Q
USC00471667          59Q
USC00471676          49S
USC00471840          17Q
USC00471847          36S
USC00471897          75R
USC00471923          39S
USC00471970          99R
USC00471978          38S
USC00472001          58R
USC00472055           8Q
USC00472165         122R
USC00472173          48R
USC00472240          30R
USC00472279          33Q
USC00472314          33R
USC00472556          49R
USC00472626           3Q
USC00472826          14R
USC00472839          35S
USC00472851           6Q
USC00472869          97S
USC00472889          60R
USC00472973          67Q
USC00473022          83R
USC00473038          92S
USC00473058          53S
USC00473116          10Q
USC00473174          14R
USC00473186          51S
USC00473268          37Q
USC00473271          37Q
USC00473332          16S
USC00473391          49Q
USC00473405          51S
USC00473453          51S
USC00473471          58R
USC00473511          50R
USC00473654          80S
USC00473661          35Q
USC00473698          23R
USC00473702           3Q
USC00473756          47S
USC00473800          22R
USC00473820          24Q
USC00474080          18S
USC00474108          50Q
USC00474174          62S
USC00474195          15R
USC00474373          18Q
USC00474391          24Q
USC00474457         185R
USC00474482          91S
USC00474523          24R
USC00474530           0Q
USC00474546          38S
USC00474582           1S
USC00474790          40Q
USC00474829          28R
USC00474894          39S
USC00474937          83S
USC00474953          31S
USC00475017          21S
USC00475091          44R
USC00475096           8Q
USC00475120          50S
USC00475164          53S
USC00475178          62S
USC00475189          79Q
USC00475255          23S
USC00475286          21S
USC00475335          41C
USC00475364          34S
USC00475474         138S
USC00475516          13S
USC00475525          15R
USC00475563          99S
USC00475573         121Q
USC00475581          68S
USC00475786         108S
USC00475808          36S
USC00475863          21R
USC00475932          49S
USC00476122          14R
USC00476200          63S
USC00476208          30S
USC00476330          54S
USC00476357          28S
USC00476380          43Q
USC00476398          12R
USC00476413          27R
USC00476510           0Q
USC00476646          69S
USC00476678          55S
USC00476718          83S
USC00476764          51S
USC00476772          23R
USC00476827         120S
USC00476838         103R
USC00476859          19S
USC00476922          54S
USC00476939          24R
USC00477052          68R
USC00477092          18S
USC00477113          25S
USC00477132          42S
USC00477142           7Q
USC00477158          82S
USC00477174          31S
USC00477209          17Q
USC00477226          72C
USC00477319          14R
USC00477349          31S
USC00477464          96S
USC00477480           8S
USC00477576          40Q
USC00477708          65C
USC00477725          81S
USC00477892          85S
USC00477964          27Q
USC00477997          99R
USC00478027          32S
USC00478110          42S
USC00478171          32S
USC00478190          11Q
USC00478229          94S
USC00478267          23S
USC00478316          78R
USC00478349          31S
USC00478376          28R
USC00478540          12Q
USC00478589          65S
USC00478672          11S
USC00478723          53R
USC00478827          16S
USC00478905           2S
USC00478910          20Q
USC00478919          67S
USC00478937          76R
USC00478951          69S
USC00479046         162R
USC00479050          78R
USC00479144          18R
USC00479190          79S
USC00479236          10R
USC00479304          15R
USC00479319          84S
USC00479335         114S
USC00480027          37R
USC00480080         210S
USC00480140           5R
USC00480270         261R
USC00480484         132S
USC00480540         410R
USC00480552          74S
USC00480603           9S
USC00480680         213Q
USC00480740         226S
USC00480761          81R
USC00480778         281S
USC00480865          12R
USC00480915          71R
USC00480951          21R
USC00481000         374R
USC00481131         217Q
USC00481165         152S
USC00481175          31R
USC00481220       -7777R
USC00481284          29R
USC00481547         222R
USC00481569         283Q
USC00481610           0R
USC00481676          69Q
USC00481730         181R
USC00481736          47R
USC00481775         197S
USC00481816         231S
USC00481840         106S
USC00481850         190S
USC00481855         109S
USC00481905         293S
USC00482054           6R
USC00482135          17Q
USC00482242           1R
USC00482375           0S
USC00482399         201Q
USC00482410         298R
USC00482415         315R
USC00482466         239S
USC00482580         319S
USC00482595          95R
USC00482680          87R
USC00482685         223R
USC00482715          17R
USC00482725         391S
USC00482881         348R
USC00482995          36S
USC00483031         177S
USC00483045          32R
USC00483100          23R
USC00483396          80S
USC00483582          54R
USC00483855         274S
USC00483936         305Q
USC00483950         310R
USC00484065         247R
USC00484080         389R
USC00484411         136S
USC00484442          29R
USC00484760         263R
USC00484910          49S
USC00484925         113R
USC00485055         312S
USC00485088         173R
USC00485105          10S
USC00485252          45R
USC00485260         374S
USC00485345           1S
USC00485374         396Q
USC00485392         217Q
USC00485435          38R
USC00485506         374S
USC00485612         303Q
USC00485770         211S
USC00485830         159R
USC00485833         387Q
USC00486120          48R
USC00486195         339R
USC00486428          38R
USC00486440           9S
USC00486555          11R
USC00486595         167R
USC00486660         346S
USC00486845           3S
USC00486852         338R
USC00487031          10Q
USC00487105          92Q
USC00487115         132R
USC00487200         170S
USC00487240         248R
USC00487260           5S
USC00487376         266R
USC00487388         218S
USC00487528          20Q
USC00487548         316R
USC00487555         390S
USC00487760         298S
USC00487810         240R
USC00487836          32Q
USC00487847         100Q
USC00487885         278Q
USC00487955          63R
USC00487990          40R
USC00488070          92R
USC00488124         336R
USC00488160         354S
USC00488192           7S
USC00488209         415Q
USC00488315           8R
USC00488385           1R
USC00488626          50Q
USC00488705         197R
USC00488758          11S
USC00488808          61R
USC00488852         284S
USC00488858         213S
USC00488875         599R
USC00488884         236Q
USC00488888         133R
USC00488995         397R
USC00488997         256R
USC00489025          32S
USC00489205         278S
USC00489208          85Q
USC00489459          91R
USC00489467          75R
USC00489580         329R
USC00489604         506R
USC00489615         370S
USC00489770         429S
USC00489805         220R
USC00489902           7Q
USC00489905          34R
USC00489925         466S
USC00500243           0S
USC00500247           0Q
USC00500275           0R
USC00500281           0Q
USC00500284           0Q
USC00500302           0R
USC00500363           0R
USC00500464           0S
USC00500490           1Q
USC00500657           2R
USC00500707           0R
USC00500788           0S
USC00501175           0Q
USC00501180           0Q
USC00501220           0Q
USC00501240           0S
USC00501243           0R
USC00501244           2Q
USC00501466           4R
USC00501492           0R
USC00501497           0Q
USC00501684           3R
USC00501926           0R
USC00501987           5Q
USC00502019           3R
USC00502107           4S
USC00502112           2S
USC00502126           0P
USC00502144           0R
USC00502149           1S
USC00502173           0R
USC00502227           0R
USC00502339           1R
USC00502350           1R
USC00502352           1R
USC00502457           0R
USC00502568           4R
USC00502587           0S
USC00502642           0Q
USC00502645           0Q
USC00502656           0R
USC00502707           2S
USC00502711           0Q
USC00502737           0Q
USC00502785           0R
USC00502868           0Q
USC00502870           3Q
USC00502871           4R
USC00502965           0R
USC00502970           2R
USC00503009           0R
USC00503160           0Q
USC00503163           0R
USC00503181           2Q
USC00503196           0Q
USC00503198           0R
USC00503212           0R
USC00503275           2R
USC00503294           0R
USC00503299           0S
USC00503304           2R
USC00503502           0R
USC00503504       -7777R
USC00503573       -7777R
USC00503585           1R
USC00503672           0S
USC00503682           0R
USC00503695           0R
USC00503720           0R
USC00503933           0R
USC00504094           0R
USC00504425           0R
USC00504550           0R
USC00504567           1Q
USC00504621           0R
USC00504812           0S
USC00504971           1Q
USC00504991           0Q
USC00505051           1R
USC00505136           0S
USC00505397           0R
USC00505464           0R
USC00505516          11Q
USC00505519           0S
USC00505604           0S
USC00505644           1Q
USC00505733           0S
USC00505757       -7777R
USC00505778       -7777R
USC00505880           1R
USC00505883           0R
USC00505894           0R
USC00506147           0S
USC00506581           2S
USC00506777           1R
USC00506853           0R
USC00506870           0R
USC00507097           0R
USC00507141           1R
USC00507352           0R
USC00507444           0R
USC00507502           0Q
USC00507513           1R
USC00507557           0R
USC00507570           0S
USC00507738           0R
USC00507780           0R
USC00507783           0R
USC00508140           1R
USC00508183           0R
USC00508375           0R
USC00508377           0R
USC00508409           2Q
USC00508470           0R
USC00508547       -7777R
USC00508594       -7777R
USC00508615           0Q
USC00508625           0R
USC00508884           0Q
USC00508915           0S
USC00508945           0R
USC00509313           4S
USC00509385       -7777R
USC00509460           0R
USC00509489          11R
USC00509641           2S
USC00509685           0Q
USC00509747           0Q
USC00509759           0R
USC00509790           0S
USC00509829           0R
USC00509861           1R
USC00509869           0R
USC00509891           0Q
USC00509919           0S
USC00510305          59R
USC00510746           2Q
USC00511004           0C
USC00511125           0R
USC00511303           0S
USC00511339           0Q
USC00511918         116S
USC00512558           3P
USC00512679           0R
USC00512751           0Q
USC00513099           0S
USC00513113           2R
USC00513117          28R
USC00513146           0Q
USC00513317          25R
USC00513911         214R
USC00514459           0R
USC00514500          23R
USC00514561           0Q
USC00515000           0S
USC00515004           0S
USC00515011           0R
USC00515177         144R
USC00515275           1R
USC00515710          41Q
USC00515758          12R
USC00515842         146S
USC00515864          17Q
USC00516128           1S
USC00516198           0R
USC00516588           7R
USC00517000           8R
USC00517131           0R
USC00517150          28Q
USC00517166       -7777S
USC00517312           0Q
USC00518055          30Q
USC00518155           0Q
USC00518165          98R
USC00518407          22R
USC00518422          63S
USC00518500           1R
USC00518549           1Q
USC00518600           7S
USC00518652           1R
USC00518830         105R
USC00518838           2R
USC00519281           0Q
USC00519397         133S
USC00519523           3S
USC00519603         114S
USC00519629          64R
USW00003013         666R
USW00003016         420R
USW00003017         396R
USW00003024         765R
USW00003026         377R
USW00003027          66R
USW00003028         505R
USW00003029         130Q
USW00003030         738R
USW00003031        1043R
USW00003032        1098R
USW00003047        1097Q
USW00003048         685Q
USW00003054         648Q
USW00003055         670Q
USW00003060           0Q
USW00003061           0Q
USW00003062           0Q
USW00003063         657Q
USW00003067         510Q
USW00003072         862Q
USW00003074         908Q
USW00003102         802R
USW00003103          15R
USW00003104        1794S
USW00003122          44R
USW00003124         739Q
USW00003125        1749S
USW00003131          98R
USW00003144        1731R
USW00003145        1748R
USW00003154         143R
USW00003159        1045R
USW00003160        1070R
USW00003162         768R
USW00003164         889S
USW00003166         244R
USW00003167          53R
USW00003170         286R
USW00003171         864R
USW00003177          11R
USW00003178          69R
USW00003179         823R
USW00003184        1549R
USW00003192        1566Q
USW00003195          70R
USW00003196        1037R
USW00003728         258Q
USW00003733           0Q
USW00003739         113Q
USW00003749          37Q
USW00003757         174Q
USW00003758         254Q
USW00003759          88Q
USW00003761          45Q
USW00003802          65R
USW00003804         145R
USW00003809         483R
USW00003810         271S
USW00003811         524S
USW00003812          73C
USW00003813         757S
USW00003816         425S
USW00003818         777R
USW00003820         820C
USW00003822         700C
USW00003841         336S
USW00003847          74S
USW00003849         193S
USW00003853         573R
USW00003855         325S
USW00003856         585C
USW00003859          33S
USW00003860         215S
USW00003866         726S
USW00003868         154R
USW00003870         457S
USW00003872          10S
USW00003878         662Q
USW00003881         564S
USW00003882         587R
USW00003887         203R
USW00003888         385R
USW00003889         122C
USW00003893         123R
USW00003894         374Q
USW00003901         820R
USW00003902         990Q
USW00003904        1063S
USW00003919         591S
USW00003927         950S
USW00003928         577C
USW00003931         791Q
USW00003932         753R
USW00003933         931Q
USW00003935         416S
USW00003936         477R
USW00003937         727S
USW00003940         710C
USW00003945         289S
USW00003947         326C
USW00003949         772Q
USW00003950         961R
USW00003951         802S
USW00003952         634S
USW00003953         542R
USW00003954         625R
USW00003957         686R
USW00003959         602S
USW00003960         353R
USW00003962         720R
USW00003963         358R
USW00003965         652R
USW00003966         364R
USW00003967         281R
USW00003969         869S
USW00003971         847R
USW00003974         508R
USW00003975         418R
USW00003981        1001R
USW00003991         933R
USW00003994         380R
USW00003996         739R
USW00003997         421R
USW00003998         491R
USW00003999         878R
USW00004109         411R
USW00004110         214R
USW00004111          11R
USW00004112           9R
USW00004113         414R
USW00004114         175R
USW00004125         432Q
USW00004126         107Q
USW00004127         255Q
USW00004128         128Q
USW00004130           6Q
USW00004131          14Q
USW00004134         625Q
USW00004136         111Q
USW00004137          38Q
USW00004138         288Q
USW00004139          10Q
USW00004140          18Q
USW00004141           0Q
USW00004201         111R
USW00004222         762Q
USW00004223          30Q
USW00004236          70Q
USW00004237          17Q
USW00004724          33Q
USW00004725          11S
USW00004726           3R
USW00004751           5S
USW00004780         121R
USW00004781          48S
USW00004787          12R
USW00004789         114R
USW00004803          22R
USW00004804         108R
USW00004808          96R
USW00004826          57R
USW00004836           3R
USW00004838         119R
USW00004839          64R
USW00004840          46R
USW00004841          35R
USW00004842          51R
USW00004843          14R
USW00004845          67R
USW00004846          83R
USW00004847          80R
USW00004848         127R
USW00004849          91R
USW00004850         107R
USW00004851          92R
USW00004852          86R
USW00004853          66R
USW00004854          11R
USW00004855          77R
USW00004857          40R
USW00004858          79R
USW00004990          64Q
USW00004994          17Q
USW00012812        1096R
USW00012815         967C
USW00012816         727S
USW00012818         840R
USW00012819         945R
USW00012832         549S
USW00012833         827R
USW00012834         493C
USW00012835        1127R
USW00012836         324R
USW00012838         657S
USW00012839         798S
USW00012841         946R
USW00012842         725S
USW00012843         481R
USW00012844         502S
USW00012849         633R
USW00012850         405S
USW00012854        1018R
USW00012859         177R
USW00012871         577R
USW00012873         712R
USW00012876        1059R
USW00012882         822R
USW00012883        1379R
USW00012884         342R
USW00012885         678R
USW00012888         684R
USW00012894        1043R
USW00012895         554R
USW00012896         807R
USW00012897         906Q
USW00012904        1441R
USW00012912        1073S
USW00012916         707S
USW00012917         779R
USW00012918         837S
USW00012919        1230S
USW00012921        1106S
USW00012923         446R
USW00012924        1063S
USW00012925        1377R
USW00012926         698S
USW00012928        1279S
USW00012930         931S
USW00012932        1402R
USW00012935         629S
USW00012944         351R
USW00012947        1448R
USW00012957        1020R
USW00012958         570S
USW00012959        1627R
USW00012960        1024S
USW00012962        1104S
USW00012968         368Q
USW00012970        1099R
USW00012971        1113R
USW00012972         941R
USW00012975         770R
USW00012976         750R
USW00012977         909Q
USW00012987        1497Q
USW00013301         157Q
USW00013701         151R
USW00013702         260R
USW00013713         475R
USW00013714         526R
USW00013721         221R
USW00013722         468C
USW00013723         288C
USW00013724          47S
USW00013728         292R
USW00013729          23S
USW00013733         217S
USW00013734         190S
USW00013735         152C
USW00013736          84S
USW00013737         270S
USW00013739         240C
USW00013740         420C
USW00013741         251S
USW00013743         310S
USW00013744         564C
USW00013745          53R
USW00013748         402C
USW00013750         308R
USW00013752         109Q
USW00013754         287S
USW00013762         308Q
USW00013764         215R
USW00013766         230R
USW00013769         260S
USW00013773         260R
USW00013776         506R
USW00013777         610R
USW00013779         229R
USW00013781         176C
USW00013782         224S
USW00013786         255R
USW00013802         510S
USW00013809         371R
USW00013810         263R
USW00013833         795R
USW00013837         617R
USW00013838         537R
USW00013839         734Q
USW00013841          94R
USW00013861         838R
USW00013865         690S
USW00013866         159S
USW00013867         267S
USW00013869         894R
USW00013870         767R
USW00013871         461C
USW00013872         107C
USW00013873         570S
USW00013874         357S
USW00013876         546S
USW00013877         144C
USW00013878         409S
USW00013880         552S
USW00013881         350S
USW00013882         477S
USW00013883         716C
USW00013884         762R
USW00013886         333R
USW00013889         732S
USW00013891         314S
USW00013893         643C
USW00013894         651C
USW00013895         760C
USW00013896         569S
USW00013897         400C
USW00013899         486S
USW00013904        1093R
USW00013911         978R
USW00013920         405R
USW00013927         631R
USW00013932         531R
USW00013935         867R
USW00013939         699Q
USW00013942         981C
USW00013957         877C
USW00013958        1111S
USW00013959        1035S
USW00013960         972S
USW00013961         916R
USW00013962         900C
USW00013963         692S
USW00013964         689C
USW00013966         979S
USW00013967         707C
USW00013968         663C
USW00013969         640S
USW00013970         919S
USW00013971         371R
USW00013972         673R
USW00013973         960R
USW00013975         722S
USW00013976         895S
USW00013977         720R
USW00013978         744S
USW00013980         645S
USW00013981         401S
USW00013984         456C
USW00013985         628C
USW00013986         581R
USW00013987         503C
USW00013988         405S
USW00013989         410R
USW00013991         282S
USW00013993         294R
USW00013994         388S
USW00013995         347S
USW00013996         415S
USW00013997         296R
USW00014605          36S
USW00014606          43R
USW00014607          11C
USW00014609          20S
USW00014610          27R
USW00014611          32R
USW00014702         122R
USW00014707           6R
USW00014710         109R
USW00014711         145R
USW00014712         153R
USW00014717          50R
USW00014719          34R
USW00014732         170C
USW00014733          20S
USW00014734         209S
USW00014735          71S
USW00014736          50S
USW00014737         119S
USW00014739         103C
USW00014740         146C
USW00014742          54S
USW00014743          17S
USW00014745          99C
USW00014747          21R
USW00014748          67R
USW00014750          46C
USW00014751         149R
USW00014752         119S
USW00014753          59C
USW00014754          14R
USW00014755           0S
USW00014756           0R
USW00014757         141S
USW00014758          38Q
USW00014761           7R
USW00014762          57R
USW00014763          13R
USW00014764          38C
USW00014765          93C
USW00014768          52C
USW00014770         156R
USW00014771          68C
USW00014775         111R
USW00014777          63S
USW00014778         111S
USW00014787          17R
USW00014790         176R
USW00014792         157R
USW00014793         143R
USW00014794          11R
USW00014804          59S
USW00014806         276S
USW00014813          58R
USW00014814          34S
USW00014815          67C
USW00014817          29S
USW00014819         151C
USW00014820          89C
USW00014821         153C
USW00014822          76S
USW00014824          14R
USW00014825         120C
USW00014826          63S
USW00014827         134C
USW00014828          72S
USW00014829          74R
USW00014833          66S
USW00014835         180S
USW00014836          70C
USW00014837          59C
USW00014838          22S
USW00014839          70S
USW00014840          18C
USW00014841          30C
USW00014842         187C
USW00014845          72S
USW00014846          72S
USW00014847          13C
USW00014848          97S
USW00014850          54S
USW00014852          50C
USW00014853          88R
USW00014855         163R
USW00014858          20R
USW00014859          28R
USW00014860          25S
USW00014880          54R
USW00014891          44S
USW00014892         182R
USW00014894          45R
USW00014895          53S
USW00014897          40C
USW00014898          31C
USW00014910          64S
USW00014912          71R
USW00014913          15S
USW00014914         116C
USW00014916          89S
USW00014918          29S
USW00014919         134C
USW00014920         134S
USW00014921          58R
USW00014922         107S
USW00014923         198S
USW00014924          52C
USW00014925          61C
USW00014926          84C
USW00014927          92R
USW00014929         130S
USW00014931         251R
USW00014933         184S
USW00014935         328C
USW00014936         221C
USW00014937         136R
USW00014938         160R
USW00014939         374C
USW00014940         109C
USW00014941         244C
USW00014942         280S
USW00014943         211S
USW00014944         138C
USW00014945         205R
USW00014946          91S
USW00014950         174S
USW00014971         347R
USW00014972         130R
USW00014990         116S
USW00014991         100C
USW00014992         139C
USW00014995          70S
USW00021504           2C
USW00021510          19R
USW00021514           0Q
USW00021515           0Q
USW00022010        1287S
USW00022016        1095Q
USW00022501          47R
USW00022514         613R
USW00022516         169C
USW00022519           2R
USW00022521         190S
USW00022534           7S
USW00022536           1C
USW00022551         246R
USW00023007         968C
USW00023009         879C
USW00023023        1014C
USW00023034        1020S
USW00023040        1263S
USW00023041         997S
USW00023042         783S
USW00023044         994S
USW00023047         608S
USW00023048         748R
USW00023049         320R
USW00023050         426S
USW00023051         367R
USW00023052         138R
USW00023054          43S
USW00023055         437R
USW00023058        1097S
USW00023061          16S
USW00023062         306S
USW00023063          45R
USW00023064         592S
USW00023065         458C
USW00023066         574S
USW00023067         682S
USW00023070         337S
USW00023072         811C
USW00023078         930R
USW00023081         241S
USW00023090         514R
USW00023091        1122R
USW00023110        1030S
USW00023129         182S
USW00023130         632R
USW00023136          39R
USW00023152         432S
USW00023153         496S
USW00023154         200C
USW00023155         998S
USW00023156        1023R
USW00023157         999S
USW00023158        1730S
USW00023159          11R
USW00023160        1443S
USW00023161        1352S
USW00023162         639C
USW00023169        1313C
USW00023170         974S
USW00023174          25C
USW00023176         490R
USW00023177         522R
USW00023179        1660S
USW00023182        1057R
USW00023183        1688S
USW00023184         368S
USW00023185         539S
USW00023187         157S
USW00023188          12S
USW00023190          12S
USW00023191          62R
USW00023194         760S
USW00023195        1799R
USW00023199        1722Q
USW00023213         286R
USW00023225           8R
USW00023230          31R
USW00023232         664R
USW00023233          43S
USW00023234          33S
USW00023237         737S
USW00023239          27R
USW00023244          76R
USW00023254         412R
USW00023257         849R
USW00023258         865S
USW00023259           4R
USW00023271         744S
USW00023272          21R
USW00023273          31S
USW00023275         619R
USW00023277          62R
USW00023285         433R
USW00023293         202R
USW00023801         513Q
USW00023802         548Q
USW00023803         335Q
USW00023904         435Q
USW00023906         633Q
USW00023907         857Q
USW00023908         292Q
USW00023909         226Q
USW00024011         204S
USW00024012         198C
USW00024013         129S
USW00024015         342S
USW00024017         431R
USW00024018         104C
USW00024020         373S
USW00024021         219S
USW00024022          15S
USW00024023         338S
USW00024024         407R
USW00024025         365S
USW00024027          81S
USW00024028         426S
USW00024029         301C
USW00024030         445R
USW00024032         382S
USW00024033         284C
USW00024036         107S
USW00024037         358S
USW00024044         338R
USW00024046         181R
USW00024048         432R
USW00024057          74S
USW00024061         228R
USW00024062         365S
USW00024088         233R
USW00024089         306C
USW00024090         309S
USW00024091         466R
USW00024110         343R
USW00024112         289Q
USW00024119         704R
USW00024120         209S
USW00024121         382C
USW00024126         324R
USW00024127         521S
USW00024128         580C
USW00024130         199S
USW00024131         475C
USW00024132         334R
USW00024133         197S
USW00024135          58S
USW00024137          80S
USW00024138          76R
USW00024139         194S
USW00024141         328S
USW00024143         175C
USW00024144         243C
USW00024145         216R
USW00024148         253Q
USW00024149         401S
USW00024150         184S
USW00024151         310S
USW00024152          31R
USW00024153         254S
USW00024154           0R
USW00024155         321C
USW00024156         297S
USW00024157         162C
USW00024159         306S
USW00024160         369R
USW00024162         589S
USW00024163         449R
USW00024164          24R
USW00024172         846R
USW00024193         435S
USW00024213           0S
USW00024215         212R
USW00024216         935S
USW00024217           2S
USW00024219         347S
USW00024220         322R
USW00024221         140C
USW00024222           2R
USW00024225         539R
USW00024227          51C
USW00024229         120S
USW00024230         247S
USW00024231         211R
USW00024232         147S
USW00024233          29C
USW00024234          15R
USW00024235          26R
USW00024237           5R
USW00024241          75R
USW00024242         148S
USW00024243         309S
USW00024255           0S
USW00024257         969R
USW00024259         449R
USW00024281          16R
USW00024283           0R
USW00024284           0S
USW00024285       -7777R
USW00024286           0R
USW00025308           1C
USW00025309           0S
USW00025322           0R
USW00025323           0R
USW00025325           0R
USW00025329           0R
USW00025331           0R
USW00025333           0S
USW00025335           0R
USW00025339           0S
USW00025367           3R
USW00025501           0C
USW00025503           0C
USW00025506           0S
USW00025507           0S
USW00025516           0R
USW00025624           0C
USW00025628           0R
USW00025704           0P
USW00025713           0C
USW00026401           0R
USW00026409           0R
USW00026410           0S
USW00026411           3C
USW00026412       -7777S
USW00026415           0S
USW00026422           3S
USW00026425       -7777S
USW00026435           1R
USW00026438           0S
USW00026442           0C
USW00026451           0C
USW00026491           0R
USW00026492           0R
USW00026494           0Q
USW00026502           2R
USW00026508           3R
USW00026510       -7777C
USW00026512           2Q
USW00026514           0S
USW00026523           0S
USW00026528       -7777S
USW00026529       -7777S
USW00026533           2C
USW00026615           0C
USW00026616           0C
USW00026617           0C
USW00026618           0R
USW00026642           3R
USW00027406           0P
USW00027502           0S
USW00027503           0P
USW00027515           0P
USW00045715           0P
USW00053119        1006R
USW00053120         517R
USW00053121          14R
USW00053123        1270R
USW00053131        1416Q
USW00053132         503Q
USW00053136        1030Q
USW00053138          73Q
USW00053139        1713Q
USW00053144        1188Q
USW00053149         158Q
USW00053150           0Q
USW00053151         438Q
USW00053152           0Q
USW00053154        1658Q
USW00053155         144Q
USW00053802         158R
USW00053819         436R
USW00053820         690R
USW00053838         259R
USW00053841         229R
USW00053842          97R
USW00053843         700Q
USW00053844         193R
USW00053847         864Q
USW00053848         801Q
USW00053850         521R
USW00053852         514R
USW00053853         333R
USW00053854         632R
USW00053855         197R
USW00053858         624R
USW00053859          86R
USW00053860         498R
USW00053862         709R
USW00053863         391R
USW00053864         487R
USW00053865         629R
USW00053866         115R
USW00053867         714R
USW00053868         310R
USW00053869         536R
USW00053870         350R
USW00053871         481R
USW00053872         405R
USW00053873         414R
USW00053874         499R
USW00053877          20Q
USW00053878          26Q
USW00053879         297Q
USW00053901         370R
USW00053902         896R
USW00053903         978R
USW00053904         363R
USW00053905         769R
USW00053907         929R
USW00053908         667R
USW00053909         957R
USW00053910         913R
USW00053911         849R
USW00053912         879R
USW00053913         691R
USW00053914         830R
USW00053915         765R
USW00053916         248R
USW00053917         618R
USW00053918         424R
USW00053919         692S
USW00053920         688R
USW00053921         578R
USW00053922         340R
USW00053925         670Q
USW00053926         645Q
USW00053927         621Q
USW00053959         537Q
USW00053960         534Q
USW00053961         677Q
